epoch,train_loss,val_avg_MAE,val_MAE_12h,val_RMSE_12h,val_MAE_24h,val_RMSE_24h,val_MAE_48h,val_RMSE_48h,val_MAE_72h,val_RMSE_72h
1,0.16972994833715319,,,,,,,,,
2,0.11961318194631516,190.119642599899,181.8016402970724,336.0913155010144,188.61886684851282,348.5736242889166,195.8604264465986,358.4329667098653,194.19763680741218,351.19027898820286
3,0.10297493589675333,,,,,,,,,
4,0.0971559103666328,178.50221213806532,168.34644259874702,310.49673729413337,175.91751627969725,326.6356725841278,185.22454495110864,339.58506316024017,184.52034472270836,336.3113167404974
5,0.09371455477213296,,,,,,,,,
6,0.09754125204846614,176.58181290129193,167.45622224565764,309.89606028927096,171.30499831122486,318.27658628353413,183.22763495237226,338.2772215341262,184.3383960959129,339.55410975854505
7,0.08745968951953678,,,,,,,,,
8,0.0847241828056771,170.20339103107204,156.66103397217012,284.81341341638574,167.59302799518878,310.0771419676723,178.488464668259,326.8311501726913,178.07103748867024,323.20422276108707
9,0.08316770501024141,,,,,,,,,
10,0.08187088810318098,163.21303999980285,146.52424562106071,277.84018068065217,159.87529241818348,306.9025448688801,172.50218320502444,328.67633069509117,173.9504387549428,331.11850113841973
11,0.08100062655651663,,,,,,,,,
12,0.08008197307821334,163.1161994344266,149.31424423631262,286.78991401168525,157.69784149123356,301.7224650131971,171.26605889169798,326.29870357147814,174.18665311846223,331.4474556454905
13,0.07926918443028383,,,,,,,,,
14,0.07860817895160885,154.17630704010213,141.54252756195027,273.9628538537048,149.1953957066158,289.8560752911618,161.7376598279587,311.62733559511463,164.22964506388368,316.3289768837526
15,0.07728515712060327,,,,,,,,,
16,0.07604782652901852,155.51225679470716,138.03575975404215,267.28840759852113,150.17549152619668,289.7167931163414,164.2214288225223,317.21230172296913,169.61634707606757,329.009256623556
17,0.07531700429953928,,,,,,,,,
18,0.0743461660747453,152.20523930905583,131.50650487203313,256.6969897601658,146.86338005136156,283.6219012201553,162.53942915837717,312.1783360871989,167.91164315445144,324.886671481231
19,0.0736660929176751,,,,,,,,,
20,0.07319894262890178,156.1830474811242,132.1558148019359,258.3760236950775,149.50879635699613,294.029334908451,168.61981310294735,329.7422056171768,174.4477656626174,342.98751759921186
21,0.07215217477458669,,,,,,,,,
22,0.07185008552834743,144.45465061297074,125.61867172491634,250.58357848099226,137.76323708146404,275.5083620397692,155.5167237726809,308.30486349605195,158.9199698728217,318.5249486845683
23,0.07166142650241927,,,,,,,,,
24,0.07073555165153789,147.0317547026806,126.33267718125141,252.54377382782465,138.72888710431357,278.5844915461966,158.9032825893222,313.9087941010687,164.1621719358351,326.0734243889901
25,0.07053344403430233,,,,,,,,,
26,0.06999775295065144,144.37764902104487,123.4210049898436,245.1567157492899,138.06477616485105,278.8300886712393,156.5563571101471,311.25170080584223,159.46845781933763,320.35619442570044
27,0.06968470193504349,,,,,,,,,
28,0.06971900631475636,156.021776952768,138.13030052121633,272.4688607793566,146.017379538791,286.6526648946437,166.61616795545623,325.90528533067715,173.32325979560832,342.3655372442167
29,0.06910260385415685,,,,,,,,,
30,0.0686296092888971,153.47566245826755,133.47361282918052,266.2244600450378,145.53540448183344,286.84955757477775,163.87207991540447,322.36782828313636,171.02155260665174,337.092915721834
31,0.06853888735292464,,,,,,,,,
32,0.06788490466245516,148.77833294379872,129.06569679669522,251.61143457067922,139.03542728386054,273.2437966123389,159.6473434925865,309.78455632407156,167.36486420205256,325.5441515687569
33,0.06796891327331385,,,,,,,,,
34,0.0683080494755835,141.39588056292266,122.55103580583314,245.2395644867905,132.10240924793214,263.3996205804307,151.6453794601715,299.0196107112086,159.28469773775387,314.4556995702314
35,0.0677418244753297,,,,,,,,,
36,0.06735541988310852,152.71246277153415,131.009133993262,264.4092488319994,143.82697717920874,285.9581247720845,164.6763595174236,324.79229037745785,171.33738039624222,340.6233329381068
37,0.067229513049595,,,,,,,,,
38,0.06720616794594629,136.6185250259373,115.48511942086651,237.30175072330942,128.27899574647185,261.0224631179543,148.08555053356744,296.8955774404008,154.6244344028434,312.45532384339924
39,0.0668329804783731,,,,,,,,,
40,0.0673437747723005,139.76114162564676,116.80653857627944,242.21111767102897,131.0870332294416,267.7025238091854,151.983725854791,305.2760546165397,159.16726884207506,319.77611812402864
