epoch,train_loss,val_avg_MAE,val_MAE_12h,val_MAE_24h,val_MAE_48h,val_MAE_72h
2,0.3208090517464585,382.51661412699593,379.3114704647243,381.0420048967353,386.31261246624825,383.4003686802757
4,0.23642392139735185,312.220162404469,314.5405613621551,310.4558773649978,313.9383143411449,309.94589654957826
6,0.1912178862986602,268.6849747051888,270.01361500724914,267.55448378110816,270.47506978370376,266.6967302486941
8,0.1694775434929555,243.28475699927222,241.78345104879824,242.62660017975597,246.27782179835788,242.45115497017684
10,0.15928628524457375,228.8715892413148,225.89044095082554,228.78691161269236,231.62054392573,229.18846047601133
12,0.15557132532277446,219.2291947090034,217.69128620534366,218.83869299730745,221.8237878941188,218.56301173924362
14,0.15454298058363397,217.54781478198413,215.61866008638168,217.31226010367322,220.15076593434156,217.10957300354002
16,0.15430995833686018,215.7353005826749,214.69727862556982,214.98381673630786,217.84164909604215,215.4184578727799
18,0.15390976442126778,216.89356221580599,214.72581168090844,216.81224620868795,219.2037010777758,216.83248989585175
20,0.15389263899776878,214.60508631873623,210.36328522105615,215.1907213207504,218.01644394311654,214.84989479002184
22,0.15393083442853192,217.33745157092903,214.92319754726196,216.7743036949735,220.15840874034953,217.49389630113117
24,0.15416585425222953,216.51589483883242,213.2995331284951,216.4720755331399,219.28626650534233,217.00570418835235
26,0.15402459452940723,212.01681272433868,211.29348025914504,211.83943768538523,214.01771099950787,210.91662195331665
28,0.15382267534732819,220.09288142239285,216.94450948564327,219.50545954160324,222.56423532927076,221.35732133305402
30,0.15364231486020125,220.6693709781737,217.0177564848015,221.05929762155856,223.7142840686037,220.88614573773108
32,0.153735143462504,219.90256379104605,217.64792506303812,219.9596993172693,222.74059867672236,219.26203210715434
34,0.15386256188388883,218.83642016517456,216.37599497595338,219.37102359962302,221.70020126351733,217.89846082160454
36,0.15388515239625467,216.50161466854402,213.17017105320664,215.99207415789263,219.361090793159,217.48312266991786
38,0.15395446837417723,215.8296290579295,212.955055185656,215.55624096232154,218.6029115457114,216.20430853802904
