epoch,train_loss,val_avg_MAE,val_MAE_1h,val_RMSE_1h,val_MAE_6h,val_RMSE_6h,val_MAE_12h,val_RMSE_12h,val_MAE_24h,val_RMSE_24h
1,0.43620615570168747,,,,,,,,,
2,0.35939236242968337,406.21396758290604,400.7553712091214,657.7108739618382,408.1663106161711,669.6043433423065,409.1178148276699,667.8033999907542,406.8163736786616,667.8785465987622
3,0.30373558435673104,,,,,,,,,
4,0.2603562320757629,327.15963757196374,321.76533797502594,540.2432976989292,327.86854322387836,550.9159913829689,330.20047567775885,550.6418401897557,328.8041934111919,552.2946952022429
5,0.22739696906025247,,,,,,,,,
6,0.20375135507350578,274.99289534895803,272.37272488214484,472.3463314622706,276.85364776584424,479.13184776427994,274.6416930241805,473.48386634294116,276.10351572366244,476.86387116120295
7,0.18588338209722274,,,,,,,,,
8,0.17290798669919036,237.61360591310657,233.25891384026124,421.0550273165756,239.9587477410755,429.986410779222,238.25306411190252,425.78707845773613,238.983697959187,428.6667988910564
9,0.16453231938351365,,,,,,,,,
10,0.15864771089159457,217.03642660858236,211.9796701379553,390.6345364327215,218.11884891196834,399.0632139722209,218.93829490106359,398.5250248296882,219.1088924833422,400.2585235580921
11,0.1548574446959603,,,,,,,,,
12,0.1521576001567948,211.2903573459654,205.8069870734116,378.8379993172714,212.3317518315824,387.7373399438757,213.25007663844335,388.15327905796386,213.77261384042419,389.88537164667565
13,0.151089593095887,,,,,,,,,
14,0.15039598359201187,205.33833261048767,198.86412026909107,370.25698168145817,206.99438324232455,381.8059704357932,208.81048453624626,382.39378589047743,206.68434239428885,380.97339666081933
15,0.14972155989336788,,,,,,,,,
16,0.14954819126908941,204.8546267328436,200.10402034070856,370.768793681499,206.1430268386301,379.1612070077762,206.59655262458915,378.938785876062,206.57490712744652,378.7571860380423
17,0.14937176292103932,,,,,,,,,
18,0.14960454561208425,205.24196086917468,200.24110556123173,370.93489351322063,205.9723811345382,379.1232878314921,207.25411994013137,380.0618503416384,207.50023684079736,380.1218457393442
19,0.14959950274542758,,,,,,,,,
20,0.14923105181607985,203.46896136678987,199.21285444134293,369.7876094806158,202.8311756938096,374.5641730009239,204.97046695574383,376.90168025846543,206.8613483762631,379.5360231998618
21,0.1493242367317802,,,,,,,,,
22,0.14928071861876582,199.14864835756433,193.01818515684963,364.10093553856774,199.33665847424624,373.0593649359853,202.46559183414075,376.2712855232889,201.7741579650207,374.7349268311752
23,0.14929195297391792,,,,,,,,,
24,0.14912064177425285,203.28948822527974,197.82256830547666,368.1758061239476,204.44603971225905,377.28152569208913,205.73817792177317,377.88130171879214,205.1511669616101,377.2486272635423
25,0.14932845185573837,,,,,,,,,
26,0.14931489308749823,202.75353562292338,198.22766019929864,368.94977820501776,201.99422680823952,374.6290998540411,203.51309274870982,376.54461499591633,207.2791627354455,381.3861397411152
27,0.14894975945913702,,,,,,,,,
28,0.1492735369313032,200.06488870061122,194.1270890977664,366.18954492510665,200.00304618716362,373.9264001326575,202.83249122706243,377.11373899107735,203.29692829045246,378.03555158651534
29,0.14924732466837518,,,,,,,,,
30,0.14909726638991133,202.05923748109757,195.41614817322468,365.28195983258377,202.13337706562248,374.82450337516747,205.2536972829355,378.20342223545566,205.43372740260756,379.3199549732587
31,0.14883963926170105,,,,,,,,,
32,0.1492665672212615,204.62507425781394,200.58785240444078,371.3617038463549,204.983929249426,377.3426900231643,206.45409097538283,378.8403221694105,206.47442440200626,378.17693352117954
33,0.14931573511514448,,,,,,,,,
